zip,donations,total,NAME,variable,estimate,moe,donations_per_1000
21719,58,2473.4699999999993,ZCTA5 21719,population,1145,252,50.65502183406113
21722,317,9866.599999999997,ZCTA5 21722,population,6709,1209,47.24996273662245
21723,215,3686.479999999998,ZCTA5 21723,population,689,207,312.04644412191584
21727,756,28446.509999999995,ZCTA5 21727,population,6588,422,114.75409836065575
21733,22,980.28,ZCTA5 21733,population,1202,437,18.302828618968388
21734,64,1267.72,ZCTA5 21734,population,861,226,74.3321718931475
21737,149,9376.609999999995,ZCTA5 21737,population,2406,638,61.92851205320033
21738,1641,31309.770000000022,ZCTA5 21738,population,3786,551,433.43898573692553
21740,41865,136944.65000000247,ZCTA5 21740,population,62760,1925,667.0650095602294
21742,5487,163741.37000000075,ZCTA5 21742,population,34549,1599,158.81791079336594
21746,9,552.02,ZCTA5 21746,population,2613,675,3.4443168771526977
21750,165,5061.7199999999975,ZCTA5 21750,population,3613,508,45.668419595903686
21754,1220,39970.79999999996,ZCTA5 21754,population,7260,804,168.04407713498622
21755,504,21364.609999999982,ZCTA5 21755,population,5706,642,88.32807570977918
21756,336,22238.630000000005,ZCTA5 21756,population,3303,567,101.72570390554043
21757,196,10792.840000000004,ZCTA5 21757,population,2722,484,72.00587803085966
21758,1294,30557.549999999916,ZCTA5 21758,population,4610,740,280.6941431670282
21762,53,2202.48,ZCTA5 21762,population,176,184,301.1363636363636
21766,177,1711.669999999999,ZCTA5 21766,population,544,177,325.36764705882354
21767,271,2927.9700000000003,ZCTA5 21767,population,873,322,310.4238258877434
21769,1570,39481.69999999997,ZCTA5 21769,population,12562,852,124.98009871039643
21770,723,20556.359999999997,ZCTA5 21770,population,7786,1211,92.85897765219624
21771,6746,150894.49000000267,ZCTA5 21771,population,31653,2013,213.12355858844342
21773,402,13039.27,ZCTA5 21773,population,5553,623,72.39330091842247
21774,2844,60800.73000000003,ZCTA5 21774,population,15096,1015,188.39427662957075
21776,1147,15895.469999999972,ZCTA5 21776,population,6434,715,178.27168169101648
21777,105,5306.590000000001,ZCTA5 21777,population,2360,443,44.49152542372881
21778,138,3602.839999999998,ZCTA5 21778,population,880,260,156.81818181818184
21779,121,6273.829999999999,ZCTA5 21779,population,1731,677,69.90179087232814
21780,106,3914.229999999999,ZCTA5 21780,population,1975,447,53.67088607594937
21782,271,8791.65,ZCTA5 21782,population,4389,715,61.745272271588064
21783,718,14984.93999999998,ZCTA5 21783,population,9866,949,72.77518751266977
21784,6982,355008.319999996,ZCTA5 21784,population,37219,1401,187.59235874150298
21787,1154,26892.229999999985,ZCTA5 21787,population,10879,601,106.07592609614855
21788,986,20376.15,ZCTA5 21788,population,11412,864,86.40028040658954
21791,1011,16003.319999999983,ZCTA5 21791,population,4855,783,208.2389289392379
21793,1537,46443.080000000016,ZCTA5 21793,population,10882,788,141.24241867303806
21794,384,21564.38999999999,ZCTA5 21794,population,2309,465,166.30576006929408
21795,917,23988.369999999977,ZCTA5 21795,population,9772,1035,93.83954154727795
21797,2300,90915.01000000056,ZCTA5 21797,population,9034,775,254.5937569183086
21798,453,9415.339999999993,ZCTA5 21798,population,2699,585,167.83994071878476
21801,2279,50766.34,ZCTA5 21801,population,30766,1652,74.07527790417993
21804,4477,63720.600000000406,ZCTA5 21804,population,38722,1490,115.61902794277155
21810,75,2913.13,ZCTA5 21810,population,160,137,468.75
21811,3477,115303.71000000108,ZCTA5 21811,population,24456,739,142.17369970559372
21813,503,11720.36,ZCTA5 21813,population,2927,541,171.84830884865048
21814,5,267.12,ZCTA5 21814,population,81,91,61.72839506172839
21817,551,19574.94999999999,ZCTA5 21817,population,4138,534,133.15611406476557
21821,73,5392.68,ZCTA5 21821,population,765,218,95.42483660130718
21822,182,10207.600000000002,ZCTA5 21822,population,2686,755,67.75874906924795
21824,8,294.93,ZCTA5 21824,population,253,150,31.620553359683793
21826,1033,11213.05,ZCTA5 21826,population,5569,94,185.49111151014543
21829,6,113.99,ZCTA5 21829,population,394,222,15.228426395939087
21830,231,9891.73,ZCTA5 21830,population,4837,844,47.756874095513744
21835,19,622.25,ZCTA5 21835,population,382,130,49.738219895287955
