zip,donations,total,NAME,variable,estimate,moe,donations_per_1000
21161,1036,26816.29999999997,ZCTA5 21161,population,5625,877,184.17777777777778
21162,705,11934.46,ZCTA5 21162,population,4322,618,163.11892642295234
21163,4816,171400.08000000005,ZCTA5 21163,population,7222,767,666.8512877319303
21201,6643,366729.6200000009,ZCTA5 21201,population,18305,1566,362.90630975143404
21202,6148,382084.8500000009,ZCTA5 21202,population,20115,1216,305.6425553069849
21204,12273,511605.4999999996,ZCTA5 21204,population,20188,1071,607.9354071725778
21205,1021,23248.110000000015,ZCTA5 21205,population,14684,1763,69.53146281667121
21206,6518,111044.22,ZCTA5 21206,population,51020,2346,127.75382203057626
21207,13152,198563.10000000015,ZCTA5 21207,population,51765,2665,254.07128368588815
21208,21511,700900.8699999987,ZCTA5 21208,population,37319,1885,576.4087998070688
21209,26774,644100.539999995,ZCTA5 21209,population,29960,2204,893.6582109479306
21210,25454,1443604.7700000436,ZCTA5 21210,population,15005,893,1696.3678773742085
21211,13357,433904.2699999998,ZCTA5 21211,population,15935,805,838.2177596485724
21212,25556,1146181.100000002,ZCTA5 21212,population,33861,1974,754.7325832078202
21213,3715,75637.8300000001,ZCTA5 21213,population,28862,1842,128.7159587000208
21214,7525,156481.40000000066,ZCTA5 21214,population,21510,1718,349.8372849837285
21215,10084,148706.3900000006,ZCTA5 21215,population,53674,2752,187.87494876476507
21216,3837,59446.779999999984,ZCTA5 21216,population,28385,2344,135.17703012154305
21217,6787,338081.31999999844,ZCTA5 21217,population,31634,1810,214.54763861667826
21218,31378,1018091.8099999998,ZCTA5 21218,population,46548,1868,674.0998539142391
21219,1232,28739.510000000017,ZCTA5 21219,population,9605,1032,128.2665278500781
21220,3341,75693.55000000031,ZCTA5 21220,population,42652,2196,78.33161399230985
21221,3250,65432.59999999995,ZCTA5 21221,population,43822,2188,74.16366208753594
21222,3776,62814.88999999995,ZCTA5 21222,population,60013,2825,62.91970073150817
21223,1598,27742.830000000005,ZCTA5 21223,population,20728,1461,77.09378618294095
21224,12042,379731.1799999997,ZCTA5 21224,population,44915,2124,268.10642324390517
21225,2446,27074.09999999997,ZCTA5 21225,population,34872,1646,70.14223445744437
21226,636,12090.19,ZCTA5 21226,population,5902,1298,107.76008132836326
21227,4190,96694.33000000005,ZCTA5 21227,population,35052,1827,119.536688348739
21228,26381,597323.7399999986,ZCTA5 21228,population,50268,2299,524.8070342961724
21229,8355,157636.48000000007,ZCTA5 21229,population,44332,2465,188.46431471623208
21230,13266,623503.7299999964,ZCTA5 21230,population,32883,1938,403.4303439467202
21231,7981,281612.8999999996,ZCTA5 21231,population,14780,1104,539.9864682002707
21233,28,238,ZCTA5 21233,population,0,13,Inf
21234,12937,250143.7600000003,ZCTA5 21234,population,66095,2210,195.73341402526668
21236,5621,122992.59000000026,ZCTA5 21236,population,38632,2124,145.501138952164
21237,3793,79481.20000000007,ZCTA5 21237,population,30983,1755,122.42197334021883
21239,11716,161538.66000000044,ZCTA5 21239,population,28417,2114,412.28841890417704
21240,14,522,ZCTA5 21240,population,0,13,Inf
21244,9590,141657.7900000002,ZCTA5 21244,population,39501,2300,242.7786638312954
21250,5,206,ZCTA5 21250,population,2959,570,1.6897600540723217
21251,9,134,ZCTA5 21251,population,319,106,28.213166144200628
21252,9,120,ZCTA5 21252,population,4456,247,2.0197486535008977
21285,3,650,ZCTA5 21285,population,10,19,300
21286,12808,415242.91999999946,ZCTA5 21286,population,21142,1217,605.8083435814966
21287,33,1663,ZCTA5 21287,population,0,13,Inf
21401,36733,1649639.400000007,ZCTA5 21401,population,40442,1625,908.2884130359528
21402,172,9181.1,ZCTA5 21402,population,2727,511,63.07297396406307
21403,25115,1333098.2500000054,ZCTA5 21403,population,32207,1921,779.799422485795
21405,1726,51961.95999999998,ZCTA5 21405,population,383,140,4506.527415143603
21409,11407,445531.4299999982,ZCTA5 21409,population,20619,1066,553.2276056064794
21502,7293,116830.50000000042,ZCTA5 21502,population,41291,828,176.62444600518273
21520,197,8828.130000000001,ZCTA5 21520,population,2056,423,95.8171206225681
21521,53,890.1600000000001,ZCTA5 21521,population,1426,291,37.166900420757365
21523,6,46,ZCTA5 21523,population,133,77,45.11278195488722
21524,5,7,ZCTA5 21524,population,740,229,6.756756756756757
21529,33,886,ZCTA5 21529,population,575,181,57.391304347826086
21530,475,11216.91,ZCTA5 21530,population,1783,406,266.404935501963
21531,191,4804.52,ZCTA5 21531,population,2014,321,94.83614697120159
21532,1754,43536.08000000003,ZCTA5 21532,population,13229,662,132.5874971653186
21536,466,10208.63,ZCTA5 21536,population,3945,388,118.12420785804817
21538,17,85,ZCTA5 21538,population,571,175,29.7723292469352
21539,28,785.4200000000001,ZCTA5 21539,population,2095,289,13.365155131264915
21540,1,56.18,ZCTA5 21540,population,94,65,10.638297872340425
21541,381,19362.08,ZCTA5 21541,population,1682,303,226.51605231866824
21545,55,972.24,ZCTA5 21545,population,1693,259,32.486709982279976
21550,1946,54859.00000000003,ZCTA5 21550,population,13640,705,142.66862170087975
21555,229,5493.5,ZCTA5 21555,population,1515,317,151.15511551155114
21557,71,1640.1999999999998,ZCTA5 21557,population,1782,483,39.84287317620651
21560,8,127.17,ZCTA5 21560,population,0,13,Inf
21561,752,17515.689999999995,ZCTA5 21561,population,2517,391,298.7683750496623
21562,202,2810.76,ZCTA5 21562,population,3248,573,62.19211822660098
21601,15791,628699.1599999968,ZCTA5 21601,population,23589,768,669.4221883081098
21607,2,350,ZCTA5 21607,population,522,231,3.8314176245210727
21610,279,3615.8,ZCTA5 21610,population,363,94,768.595041322314
21612,232,8710.380000000001,ZCTA5 21612,population,557,279,416.51705565529625
21613,3942,120616.02999999994,ZCTA5 21613,population,17945,506,219.67121760936195
21617,3054,57825.34999999997,ZCTA5 21617,population,10401,813,293.62561292183443
21619,3573,96216.21999999994,ZCTA5 21619,population,5776,636,618.5941828254847
21620,7513,422426.1699999993,ZCTA5 21620,population,13636,712,550.9680258140218
21622,17,546.72,ZCTA5 21622,population,348,105,48.850574712643684
